"","DATETIME","preclose","open","high","low","last","volume","amount"
"387",2017-03-23 09:46:42,9.16,9.16,9.22,9.15,9.21,7601394,69852462
"388",2017-03-23 09:46:45,9.16,9.16,9.22,9.15,9.22,7602714,69864629
"389",2017-03-23 09:46:48,9.16,9.16,9.22,9.15,9.22,7603514,69872005
"390",2017-03-23 09:46:51,9.16,9.16,9.22,9.15,9.22,7605214,69887679
"391",2017-03-23 09:46:54,9.16,9.16,9.22,9.15,9.22,7605214,69887679
"392",2017-03-23 09:46:57,9.16,9.16,9.22,9.15,9.22,7606014,69895055
"393",2017-03-23 09:47:00,9.16,9.16,9.22,9.15,9.22,7609014,69922715
"394",2017-03-23 09:47:03,9.16,9.16,9.22,9.15,9.22,7609214,69924559
"395",2017-03-23 09:47:06,9.16,9.16,9.22,9.15,9.22,7610714,69938389
"396",2017-03-23 09:47:09,9.16,9.16,9.22,9.15,9.21,7623074,70052344
"397",2017-03-23 09:47:12,9.16,9.16,9.22,9.15,9.22,7624074,70061564
"398",2017-03-23 09:47:15,9.16,9.16,9.22,9.15,9.22,7624074,70061564
"399",2017-03-23 09:47:18,9.16,9.16,9.22,9.15,9.22,7626874,70087360
"400",2017-03-23 09:47:21,9.16,9.16,9.22,9.15,9.22,7638074,70190624
"401",2017-03-23 09:47:24,9.16,9.16,9.22,9.15,9.22,7643174,70237646
"402",2017-03-23 09:47:27,9.16,9.16,9.22,9.15,9.21,7652974,70327962
"403",2017-03-23 09:47:30,9.16,9.16,9.22,9.15,9.22,7653374,70331650
"404",2017-03-23 09:47:33,9.16,9.16,9.22,9.15,9.21,7661074,70402619
"405",2017-03-23 09:47:36,9.16,9.16,9.22,9.15,9.22,7661174,70403541
"406",2017-03-23 09:47:39,9.16,9.16,9.22,9.15,9.22,7661174,70403541
"407",2017-03-23 09:47:42,9.16,9.16,9.22,9.15,9.22,7661774,70409073
"408",2017-03-23 09:47:45,9.16,9.16,9.22,9.15,9.22,7661774,70409073
"409",2017-03-23 09:47:48,9.16,9.16,9.22,9.15,9.22,7753674,71256391
"410",2017-03-23 09:47:51,9.16,9.16,9.22,9.15,9.22,7754174,71261001
"411",2017-03-23 09:47:54,9.16,9.16,9.22,9.15,9.21,7758474,71300627
"412",2017-03-23 09:47:57,9.16,9.16,9.22,9.15,9.22,7760974,71323677
"413",2017-03-23 09:48:00,9.16,9.16,9.22,9.15,9.21,7764474,71355927
"414",2017-03-23 09:48:03,9.16,9.16,9.22,9.15,9.22,7774874,71451815
"415",2017-03-23 09:48:06,9.16,9.16,9.22,9.15,9.22,7776874,71470255
"416",2017-03-23 09:48:09,9.16,9.16,9.22,9.15,9.21,7786874,71562443
"417",2017-03-23 09:48:12,9.16,9.16,9.22,9.15,9.22,7787874,71571663
"418",2017-03-23 09:48:15,9.16,9.16,9.22,9.15,9.22,7787874,71571663
"419",2017-03-23 09:48:18,9.16,9.16,9.22,9.15,9.21,7789474,71586399
"420",2017-03-23 09:48:21,9.16,9.16,9.22,9.15,9.22,7789974,71591009
"421",2017-03-23 09:48:24,9.16,9.16,9.22,9.15,9.22,7792774,71616803
"422",2017-03-23 09:48:27,9.16,9.16,9.22,9.15,9.22,7792774,71616803
"423",2017-03-23 09:48:30,9.16,9.16,9.22,9.15,9.22,7802774,71709003
"424",2017-03-23 09:48:33,9.16,9.16,9.22,9.15,9.21,7803374,71714529
"425",2017-03-23 09:48:36,9.16,9.16,9.22,9.15,9.21,7803374,71714529
"426",2017-03-23 09:48:39,9.16,9.16,9.22,9.15,9.21,7812974,71802981
"427",2017-03-23 09:48:42,9.16,9.16,9.22,9.15,9.21,7818474,71853681
"428",2017-03-23 09:48:45,9.16,9.16,9.22,9.15,9.21,7818974,71858286
"429",2017-03-23 09:48:48,9.16,9.16,9.22,9.15,9.21,7818974,71858286
"430",2017-03-23 09:48:51,9.16,9.16,9.22,9.15,9.22,7823274,71897932
"431",2017-03-23 09:48:54,9.16,9.16,9.22,9.15,9.21,7955774,73119562
"432",2017-03-23 09:48:57,9.16,9.16,9.22,9.15,9.21,7965522,73209439
"433",2017-03-23 09:49:00,9.16,9.16,9.22,9.15,9.22,7967822,73230641
"434",2017-03-23 09:49:03,9.16,9.16,9.22,9.15,9.22,7973422,73282234
"435",2017-03-23 09:49:06,9.16,9.16,9.22,9.15,9.22,7999522,73522876
"436",2017-03-23 09:49:09,9.16,9.16,9.22,9.15,9.22,8267402,75992728
"437",2017-03-23 09:49:12,9.16,9.16,9.22,9.15,9.22,8273402,76048048
"438",2017-03-23 09:49:15,9.16,9.16,9.22,9.15,9.22,8275402,76066488
"439",2017-03-23 09:49:18,9.16,9.16,9.23,9.15,9.23,8282482,76131776
"440",2017-03-23 09:49:21,9.16,9.16,9.23,9.15,9.23,8288282,76185264
"441",2017-03-23 09:49:24,9.16,9.16,9.23,9.15,9.22,8291282,76212924
"442",2017-03-23 09:49:27,9.16,9.16,9.23,9.15,9.22,8363322,76877135
"443",2017-03-23 09:49:30,9.16,9.16,9.23,9.15,9.22,8365522,76897419
"444",2017-03-23 09:49:33,9.16,9.16,9.23,9.15,9.23,8373182,76968103
"445",2017-03-23 09:49:36,9.16,9.16,9.23,9.15,9.22,8383382,77062147
"446",2017-03-23 09:49:39,9.16,9.16,9.23,9.15,9.22,8386882,77094417
"447",2017-03-23 09:49:42,9.16,9.16,9.23,9.15,9.22,8400782,77222585
"448",2017-03-23 09:49:45,9.16,9.16,9.23,9.15,9.23,8419982,77399711
"449",2017-03-23 09:49:48,9.16,9.16,9.23,9.15,9.23,8464682,77811857
"450",2017-03-23 09:49:51,9.16,9.16,9.23,9.15,9.22,8470782,77868129
"451",2017-03-23 09:49:54,9.16,9.16,9.23,9.15,9.22,8501182,78148426
"452",2017-03-23 09:49:57,9.16,9.16,9.23,9.15,9.23,8505182,78185316
"453",2017-03-23 09:50:00,9.16,9.16,9.23,9.15,9.23,8532582,78437971
"454",2017-03-23 09:50:03,9.16,9.16,9.23,9.15,9.22,8540982,78515448
"455",2017-03-23 09:50:06,9.16,9.16,9.23,9.15,9.23,8541982,78524678
"456",2017-03-23 09:50:09,9.16,9.16,9.23,9.15,9.23,8552882,78625187
"457",2017-03-23 09:50:12,9.16,9.16,9.23,9.15,9.23,8555082,78645491
"458",2017-03-23 09:50:15,9.16,9.16,9.23,9.15,9.23,8564182,78729459
"459",2017-03-23 09:50:18,9.16,9.16,9.23,9.15,9.23,8579382,78869755
"460",2017-03-23 09:50:21,9.16,9.16,9.23,9.15,9.23,8581382,78888215
"461",2017-03-23 09:50:24,9.16,9.16,9.23,9.15,9.23,8616682,79213832
"462",2017-03-23 09:50:27,9.16,9.16,9.23,9.15,9.23,8617182,79218447
"463",2017-03-23 09:50:30,9.16,9.16,9.23,9.15,9.23,8620082,79245196
